Date,TotalTrips,TotalUniqueDevices,MedianDuration,MedianDistance
2022-01-05,3375.0,2103.0,427.0,1267.0
2022-01-06,3463.0,2210.0,402.0,1227.0
2022-01-07,2778.0,1867.0,370.0,1096.631
2022-01-08,4482.0,2718.0,457.5,1237.5
2022-01-09,6800.0,3616.0,482.0,1317.0
2022-01-10,2827.0,1797.0,378.0,1224.0
2022-01-11,2650.0,1678.0,336.5,1135.5
2022-01-12,2943.0,1887.0,382.0,1214.0
2022-01-13,3938.0,2403.0,406.0,1250.0
2022-01-14,6315.0,3473.0,460.0,1359.0
2022-01-15,9575.0,4679.0,452.0,1283.0
2022-01-16,8698.0,4268.0,477.0,1282.0
2022-01-17,5915.0,3339.0,444.0,1253.0
2022-01-18,3491.0,2141.0,386.0,1295.0
2022-01-19,3968.0,2355.0,387.0,1272.1232
2022-01-20,2513.0,1633.0,312.0,1028.0
2022-01-21,2842.0,1910.0,356.0,1102.5
2022-01-22,6995.0,3878.0,455.0,1255.0
2022-01-23,7140.0,3886.0,445.5,1218.0
2022-01-24,2802.0,1853.0,374.5,1168.5
2022-01-25,2672.0,1739.0,348.0,1180.0
2022-01-26,3384.0,2093.0,345.0,1140.5
2022-01-27,3537.0,2226.0,373.0,1233.0
2022-01-28,5124.0,2999.0,407.0,1244.0
2022-01-29,10250.0,4938.0,490.5,1377.0
2022-01-30,10431.0,4840.0,475.0,1306.9287
2022-01-31,2960.0,1985.0,392.0,1175.5
2022-02-01,2534.0,1601.0,347.5,1151.5
2022-02-02,2965.0,1853.0,326.0,1082.0
2022-02-03,211.0,166.0,243.0,831.0
2022-02-04,726.0,543.0,347.5,1133.0
2022-02-05,4294.0,2417.0,464.0,1309.5
2022-02-06,6191.0,2999.0,469.0,1330.0
2022-02-07,3381.0,1980.0,387.0,1289.0
2022-02-08,3311.0,1927.0,366.0,1251.0
2022-02-09,3737.0,2129.0,360.0,1244.0
2022-02-10,4324.0,2445.0,387.0,1272.0
2022-02-11,7229.0,3624.0,449.0,1357.4012
2022-02-12,10177.0,4496.0,457.0,1308.0
2022-02-13,9252.0,4169.0,473.0,1298.0
2022-02-14,4805.0,2728.0,412.0,1284.0
2022-02-15,3990.0,2369.0,386.5,1253.0
2022-02-16,4363.0,2501.0,379.0,1249.0
2022-02-17,5495.0,2957.0,380.0,1243.0
2022-02-18,6846.0,3634.0,427.0,1229.5
2022-02-19,17486.0,6457.0,548.0,1413.5
2022-02-20,22116.0,6884.0,557.0,1407.0
2022-02-21,9925.0,4464.0,488.0,1435.0
2022-02-22,6018.0,3126.0,423.0,1398.0
2022-02-23,3257.0,2015.0,307.0,1067.0
2022-02-24,1933.0,1333.0,301.0,985.0
2022-02-25,3679.0,2237.0,334.0,996.0
2022-02-26,4775.0,2803.0,381.0,1075.0
2022-02-27,7512.0,3978.0,491.0,1336.0
2022-02-28,5172.0,3036.0,436.0,1309.0
2022-03-01,5238.0,2943.0,388.5,1272.0
2022-03-02,5555.0,3151.0,383.0,1239.0
2022-03-03,6951.0,3625.0,425.0,1318.0
2022-03-04,10688.0,4930.0,474.0,1381.0
2022-03-05,18658.0,6776.0,523.0,1416.5
2022-03-06,18147.0,6473.0,513.0,1393.0
2022-03-07,6488.0,3363.0,431.0,1314.5
2022-03-08,4293.0,2477.0,347.0,1161.0
2022-03-09,5292.0,2925.0,376.0,1231.0
2022-03-10,6737.0,3635.0,411.0,1305.0
2022-03-11,9199.0,4383.0,405.0,1208.0
2022-03-12,16720.0,6538.0,460.0,1281.6991
2022-03-13,22784.0,7491.0,470.0,1288.0
2022-03-14,18446.0,6566.0,460.0,1295.0
2022-03-15,20080.0,6932.0,475.0,1360.0
2022-03-16,21230.0,7157.0,468.0,1328.0
2022-03-17,22739.0,7624.0,478.0,1349.0
2022-03-18,28514.0,8446.0,505.0,1386.0
2022-03-19,33432.0,8923.0,544.0,1416.0
2022-03-20,26715.0,8076.0,554.0,1438.0
2022-03-21,5712.0,3237.0,426.5,1284.5
2022-03-22,4733.0,2796.0,383.0,1324.0
2022-03-23,6354.0,3524.0,408.0,1301.0
2022-03-24,9334.0,4573.0,439.0,1336.0
2022-03-25,14485.0,6080.0,480.0,1372.0
2022-03-26,21937.0,7693.0,525.0,1442.0
2022-03-27,20318.0,7243.0,515.0,1424.8274
2022-03-28,9106.0,4461.0,454.0,1340.0
2022-03-29,7040.0,3708.0,405.0,1277.0
2022-03-30,6968.0,3808.0,388.5,1287.0
2022-03-31,8347.0,4301.0,403.0,1290.0
2022-04-01,12862.0,5747.0,476.0,1415.0
2022-04-02,20834.0,7356.0,532.0,1452.5
2022-04-03,22717.0,7354.0,553.0,1495.0
2022-04-04,4766.0,2838.0,471.5,1349.0
